                                                            PLATAFORMA DE STREAMING TP
                                                  DETALLE COMPLETO DE REPRODUCCION DE STREAMS
======================================================================================================================================================
 STREAM         IDIOMA      CATEGORIA       DURACION    REP.ANTIGUA   REP.RECIENTE   PROM.RAT.CAL     PROM.TASA.DROP-OFF         #REPR.      TOT.REPR.
------------------------------------------------------------------------------------------------------------------------------------------------------
 103172          1007         Q1028         00:39:54     17/07/2025     29/08/2025         4.21            44.23%                   6        03:59:24
 111196          2010         S1035         00:18:28     00/00/00       00/00/00           0.00             0.00%                   0        00:00:00
 113141          2010         T1017         01:46:59     22/07/2025     19/08/2025         3.21            47.40%                   4        07:07:56
 115115          1002         X1069         00:44:08     28/07/2025     01/09/2025         3.66            31.81%                   9        06:37:12
 125190          3019         O1049         00:45:39     17/07/2025     31/08/2025         2.59            49.95%                   4        03:02:36
 139193          1002         O1090         00:36:11     19/07/2025     02/08/2025         2.43            44.65%                   2        01:12:22
 145153          2055         N1099         01:18:42     31/07/2025     28/08/2025         3.74            43.20%                   3        03:56:06
 150144          3009         B1073         00:29:02     15/07/2025     03/09/2025         3.21            56.23%                   7        03:23:14
 159152          3071         U1040         01:06:43     20/07/2025     21/08/2025         2.77            52.56%                   5        05:33:35
 165107          3019         Q1021         00:48:56     15/07/2025     31/07/2025         2.46            77.67%                   4        03:15:44
 175109          3001         W1089         02:22:23     15/07/2025     31/08/2025         2.96            62.52%                  11        26:06:13
 186113          2041         C1072         00:05:41     25/08/2025     25/08/2025         3.03            38.20%                   1        00:05:41
 199127          1002         V1064         00:12:55     23/07/2025     22/08/2025         2.99            33.40%                   4        00:51:40
 199195          1007         V1056         02:02:03     17/07/2025     27/08/2025         2.75            36.76%                   7        14:14:21
 233158          2055         D1020         01:51:16     05/08/2025     31/08/2025         3.09            38.10%                   6        11:07:36
 242173          2055         A1054         01:06:03     29/07/2025     03/09/2025         2.44            49.76%                   7        07:42:21
 249101          3071         U1053         02:03:07     17/07/2025     09/08/2025         2.57            69.73%                   4        08:12:28
 253143          4003         B1096         00:12:53     28/07/2025     31/08/2025         3.60            43.87%                   7        01:30:11
 254145          2062         B1047         00:11:42     19/07/2025     23/08/2025         3.33            40.73%                   6        01:10:12
 255124          1056         H1004         00:15:31     18/07/2025     03/09/2025         2.89            63.30%                   4        01:02:04
 276198          1003         Z1085         01:31:55     20/07/2025     01/09/2025         3.21            44.62%                  17        26:02:35
 282183          4013         V1064         00:33:36     17/07/2025     31/08/2025         3.93            64.19%                   7        03:55:12
 294188          3006         C1072         02:14:51     08/08/2025     08/08/2025         3.39            76.80%                   1        02:14:51
 312130          3019         D1058         01:40:35     16/07/2025     01/09/2025         2.69            65.68%                   5        08:22:55
 312157          2041         N1013         01:03:37     20/07/2025     10/08/2025         3.21            65.52%                   6        06:21:42
 316186          2010         L1061         01:41:44     04/08/2025     23/08/2025         2.79            55.67%                   4        06:46:56
 323169          3071         V1056         01:55:36     19/07/2025     29/08/2025         2.98            61.40%                   4        07:42:24
 323171          3019         B1075         00:10:41     15/07/2025     15/08/2025         3.74            36.95%                   6        01:04:06
 333192          2062         A1060         00:05:10     00/00/00       00/00/00           0.00             0.00%                   0        00:00:00
 338176          2055         K1026         01:36:44     18/07/2025     31/08/2025         3.55            71.32%                   5        08:03:40
 347108          2062         W1036         00:59:00     19/07/2025     03/09/2025         2.79            56.27%                   6        05:54:00
 360187          3009         G1043         00:00:56     21/08/2025     01/09/2025         3.51            34.08%                   5        00:04:40
 371167          2041         D1067         01:06:43     11/08/2025     01/09/2025         4.25            55.67%                   4        04:26:52
 372132          1003         Z1074         00:45:13     28/07/2025     04/08/2025         2.61            58.27%                   3        02:15:39
 373149          2041         W1039         02:05:32     22/07/2025     27/08/2025         2.94            56.80%                   5        10:27:40
 380174          3019         T1017         00:03:06     15/07/2025     23/08/2025         2.50            43.66%                   9        00:27:54
 394137          3019         C1072         02:18:10     24/07/2025     27/08/2025         3.25            49.54%                   7        16:07:10
 396199          3009         C1010         01:34:49     15/07/2025     31/08/2025         3.24            56.17%                   7        11:03:43
 401166          1002         B1073         01:02:04     18/07/2025     26/08/2025         3.13            45.93%                  10        10:20:40
 410154          2022         Q1021         00:56:27     27/07/2025     26/08/2025         2.48            42.30%                   8        07:31:36
 413164          4003         B1047         02:12:49     16/07/2025     30/08/2025         3.32            50.83%                   6        13:16:54
 417134          4013         G1043         00:13:19     30/07/2025     16/08/2025         2.37            62.62%                   5        01:06:35
 424112          2041         B1075         00:53:51     19/07/2025     31/08/2025         3.39            64.45%                   6        05:23:06
 450161          3009         L1061         00:58:50     22/07/2025     16/08/2025         3.49            40.12%                   8        07:50:40
 461163          1056         V1056         01:22:16     23/07/2025     25/08/2025         3.37            43.16%                   8        10:58:08
 486125          1005         A1052         02:01:25     27/08/2025     27/08/2025         4.24            76.10%                   1        02:01:25
 501133          2062         U1045         00:47:09     26/07/2025     31/08/2025         3.06            47.70%                   4        03:08:36
 529140          3009         N1055         02:22:02     16/07/2025     30/08/2025         2.61            43.23%                   4        09:28:08
 531159          4009         Q1028         00:29:06     19/07/2025     25/08/2025         3.41            28.85%                  10        04:51:00
 532197          4013         W1033         01:07:30     17/07/2025     03/08/2025         4.64             8.15%                   2        02:15:00
 547147          2041         A1052         02:21:50     18/07/2025     25/08/2025         2.64            20.35%                   4        09:27:20
 553156          2010         A1052         02:07:26     16/07/2025     27/08/2025         2.65            45.67%                   3        06:22:18
 570116          1007         O1049         00:05:33     23/07/2025     03/09/2025         3.06            42.85%                   4        00:22:12
 576104          3071         O1070         02:11:48     20/07/2025     03/09/2025         2.80            63.30%                   8        17:34:24
 610128          4003         C1062         01:19:03     16/07/2025     22/08/2025         2.97            56.90%                   9        11:51:27
 614102          4009         C1084         00:58:21     28/07/2025     14/08/2025         3.43            28.60%                   4        03:53:24
 629118          3071         K1026         00:02:49     02/08/2025     24/08/2025         3.54            51.88%                   8        00:22:32
 632180          2035         S1035         00:39:10     16/07/2025     05/08/2025         1.87            31.65%                   4        02:36:40
 647182          1005         N1001         00:01:42     17/07/2025     26/08/2025         3.15            66.33%                  12        00:20:24
 650117          2035         B1005         01:43:09     22/07/2025     29/08/2025         2.29            56.07%                   9        15:28:21
 657114          4003         C1072         00:52:46     18/07/2025     03/09/2025         3.10            45.80%                   4        03:31:04
 668194          2055         U1003         00:11:47     14/08/2025     02/09/2025         3.19            38.37%                   3        00:35:21
 678119          1005         Q1071         01:53:08     16/07/2025     03/09/2025         2.44            45.98%                   9        16:58:12
 683126          1002         N1099         00:23:04     23/07/2025     23/08/2025         2.69            32.55%                   4        01:32:16
 684170          2035         D1097         00:36:13     16/07/2025     01/09/2025         2.07            51.44%                   7        04:13:31
 693105          1002         K1048         00:54:06     18/07/2025     02/09/2025         2.88            69.13%                   7        06:18:42
 702155          1003         I1015         00:04:27     19/07/2025     23/08/2025         3.87            50.66%                   5        00:22:15
 704111          3009         K1093         00:25:18     03/08/2025     02/09/2025         3.12            30.27%                   4        01:41:12
 714136          1056         J1009         01:09:20     15/07/2025     02/09/2025         3.04            58.39%                   7        08:05:20
 726131          1007         S1095         00:03:45     15/07/2025     03/09/2025         3.07            46.77%                  10        00:37:30
 731150          3006         L1008         02:09:08     20/07/2025     21/08/2025         2.03            52.50%                   8        17:13:04
 738184          1003         K1026         00:21:44     26/07/2025     01/09/2025         2.79            48.59%                   9        03:15:36
 752122          1005         S1095         01:22:16     15/07/2025     23/08/2025         3.06            42.52%                   4        05:29:04
 770185          1007         D1058         02:04:33     21/07/2025     03/09/2025         3.39            48.87%                  11        22:50:03
 784162          2055         K1026         01:08:55     19/07/2025     25/08/2025         2.89            74.60%                   6        06:53:30
 785178          2062         O1019         01:15:27     29/07/2025     07/08/2025         2.87            53.37%                   3        03:46:21
 803100          4003         C1072         01:22:25     22/07/2025     02/09/2025         2.88            50.33%                  15        20:36:15
 829177          1005         T1007         00:10:29     16/07/2025     19/08/2025         2.71            41.20%                   4        00:41:56
 831191          3001         F1077         01:49:26     29/08/2025     29/08/2025         2.59            74.90%                   1        01:49:26
 833121          1007         N1079         00:05:07     20/07/2025     19/08/2025         3.04            38.03%                   6        00:30:42
 866146          2041         Z1037         01:13:33     23/07/2025     30/08/2025         3.01            38.40%                   7        08:34:51
 866151          2055         Q1028         01:30:05     27/08/2025     27/08/2025         1.71            70.00%                   1        01:30:05
 867123          1003         T1016         01:35:16     08/08/2025     02/09/2025         2.32            30.88%                   4        06:21:04
 867160          4013         S1095         02:13:15     20/07/2025     26/08/2025         3.19            43.74%                   7        15:32:45
