                          Juego de datos de stream
 Codigo de stream               Duracion de stream       Lenguaje de stream          Categoria de stream
           103172                         00:39:54                     1007                        Q1028
           111196                         00:18:28                     2010                        S1035
           113141                         01:46:59                     2010                        T1017
           115115                         00:44:08                     1002                        X1069
           125190                         00:45:39                     3019                        O1049
           139193                         00:36:11                     1002                        O1090
           145153                         01:18:42                     2055                        N1099
           150144                         00:29:02                     3009                        B1073
           159152                         01:06:43                     3071                        U1040
           165107                         00:48:56                     3019                        Q1021
           175109                         02:22:23                     3001                        W1089
           186113                         00:05:41                     2041                        C1072
           199127                         00:12:55                     1002                        V1064
           199195                         02:02:03                     1007                        V1056
           233158                         01:51:16                     2055                        D1020
           242173                         01:06:03                     2055                        A1054
           249101                         02:03:07                     3071                        U1053
           253143                         00:12:53                     4003                        B1096
           254145                         00:11:42                     2062                        B1047
           255124                         00:15:31                     1056                        H1004
           276198                         01:31:55                     1003                        Z1085
           282183                         00:33:36                     4013                        V1064
           294188                         02:14:51                     3006                        C1072
           312130                         01:40:35                     3019                        D1058
           312157                         01:03:37                     2041                        N1013
           316186                         01:41:44                     2010                        L1061
           323169                         01:55:36                     3071                        V1056
           323171                         00:10:41                     3019                        B1075
           333192                         00:05:10                     2062                        A1060
           338176                         01:36:44                     2055                        K1026
           347108                         00:59:00                     2062                        W1036
           360187                         00:00:56                     3009                        G1043
           371167                         01:06:43                     2041                        D1067
           372132                         00:45:13                     1003                        Z1074
           373149                         02:05:32                     2041                        W1039
           380174                         00:03:06                     3019                        T1017
           394137                         02:18:10                     3019                        C1072
           396199                         01:34:49                     3009                        C1010
           401166                         01:02:04                     1002                        B1073
           410154                         00:56:27                     2022                        Q1021
           413164                         02:12:49                     4003                        B1047
           417134                         00:13:19                     4013                        G1043
           424112                         00:53:51                     2041                        B1075
           450161                         00:58:50                     3009                        L1061
           461163                         01:22:16                     1056                        V1056
           486125                         02:01:25                     1005                        A1052
           501133                         00:47:09                     2062                        U1045
           529140                         02:22:02                     3009                        N1055
           531159                         00:29:06                     4009                        Q1028
           532197                         01:07:30                     4013                        W1033
           547147                         02:21:50                     2041                        A1052
           553156                         02:07:26                     2010                        A1052
           570116                         00:05:33                     1007                        O1049
           576104                         02:11:48                     3071                        O1070
           610128                         01:19:03                     4003                        C1062
           614102                         00:58:21                     4009                        C1084
           629118                         00:02:49                     3071                        K1026
           632180                         00:39:10                     2035                        S1035
           647182                         00:01:42                     1005                        N1001
           650117                         01:43:09                     2035                        B1005
           657114                         00:52:46                     4003                        C1072
           668194                         00:11:47                     2055                        U1003
           678119                         01:53:08                     1005                        Q1071
           683126                         00:23:04                     1002                        N1099
           684170                         00:36:13                     2035                        D1097
           693105                         00:54:06                     1002                        K1048
           702155                         00:04:27                     1003                        I1015
           704111                         00:25:18                     3009                        K1093
           714136                         01:09:20                     1056                        J1009
           726131                         00:03:45                     1007                        S1095
           731150                         02:09:08                     3006                        L1008
           738184                         00:21:44                     1003                        K1026
           752122                         01:22:16                     1005                        S1095
           770185                         02:04:33                     1007                        D1058
           784162                         01:08:55                     2055                        K1026
           785178                         01:15:27                     2062                        O1019
           803100                         01:22:25                     4003                        C1072
           829177                         00:10:29                     1005                        T1007
           831191                         01:49:26                     3001                        F1077
           833121                         00:05:07                     1007                        N1079
           866146                         01:13:33                     2041                        Z1037
           866151                         01:30:05                     2055                        Q1028
           867123                         01:35:16                     1003                        T1016
           867160                         02:13:15                     4013                        S1095
           875110                         01:43:14                     2062                        U1045
           884135                         00:52:26                     4003                        M1088
           888106                         01:22:42                     4013                        W1042
           914103                         02:18:40                     3001                        N1001
           914175                         00:42:35                     3001                        N1013
           925120                         00:59:53                     3071                        E1057
           927148                         01:56:59                     2055                        N1099
           929142                         01:22:50                     1005                        S1083
           939139                         02:10:48                     4003                        G1043
           970129                         02:05:26                     4009                        Q1023
           977179                         01:04:09                     3001                        A1054
           978138                         02:03:12                     1005                        A1063
           979189                         00:43:21                     2062                        Z1085
           990168                         00:19:44                     3071                        Z1085
           992165                         01:30:50                     3009                        I1015
           994181                         00:08:00                     3006                        G1051
