Etiquetas
       Codigo de tag         duracion de etiqueta
              803100                    000:01:27
              249101                    000:02:07
              614102                    000:01:59
              914103                    000:02:54
              576104                    000:02:32
              693105                    000:01:37
              888106                    000:02:07
              165107                    000:03:00
              347108                    000:00:37
              175109                    000:02:40
              875110                    000:02:15
              704111                    000:02:51
              424112                    000:00:52
              186113                    000:01:48
              657114                    000:02:14
              115115                    000:01:27
              570116                    000:01:39
              650117                    000:02:05
              629118                    000:00:41
              678119                    000:02:58
              925120                    000:01:22
              833121                    000:01:14
              752122                    000:02:15
              867123                    000:01:55
              255124                    000:00:54
              486125                    000:01:11
              683126                    000:01:35
              199127                    000:01:37
              610128                    000:02:51
              970129                    000:02:07
              312130                    000:01:56
              726131                    000:02:56
              372132                    000:01:16
              501133                    000:01:03
              417134                    000:01:11
              884135                    000:00:35
              714136                    000:02:04
              394137                    000:02:45
              978138                    000:01:54
              939139                    000:00:52
              529140                    000:01:25
              113141                    000:02:12
              929142                    000:02:46
              253143                    000:00:39
              150144                    000:01:21
              254145                    000:02:43
              866146                    000:01:19
              547147                    000:01:15
              927148                    000:02:18
              373149                    000:02:05
              731150                    000:01:54
              866151                    000:00:42
              159152                    000:01:00
              145153                    000:01:37
              410154                    000:00:47
              702155                    000:02:04
              553156                    000:00:37
              312157                    000:01:51
              233158                    000:02:04
              531159                    000:03:00
              867160                    000:01:20
              450161                    000:02:53
              784162                    000:02:47
              461163                    000:02:54
              413164                    000:02:59
              992165                    000:00:55
              401166                    000:02:34
              371167                    000:01:33
              990168                    000:00:51
              323169                    000:00:39
              684170                    000:02:25
              323171                    000:01:52
              103172                    000:02:19
              242173                    000:02:24
              380174                    000:00:39
              914175                    000:01:52
              338176                    000:01:30
              829177                    000:01:57
              785178                    000:01:42
              977179                    000:02:53
              632180                    000:02:02
              994181                    000:01:12
              647182                    000:01:19
              282183                    000:02:18
              738184                    000:02:16
              770185                    000:01:36
              316186                    000:01:36
              360187                    000:02:11
              294188                    000:02:48
              979189                    000:00:57
              125190                    000:02:40
              831191                    000:00:52
              333192                    000:00:38
              139193                    000:01:15
              668194                    000:00:50
              199195                    000:01:06
              111196                    000:01:57
              532197                    000:02:25
              276198                    000:02:43
              396199                    000:02:01
